Local time,Open,High,Low,Close,Volume
10.01.2017 14:00:00.000 GMT+0100,84.470,84.490,84.209,84.299,29202022.5525
10.01.2017 15:00:00.000 GMT+0100,84.299,84.320,84.109,84.190,34984802.2461
10.01.2017 16:00:00.000 GMT+0100,84.199,84.230,84.019,84.079,46372325.8972
10.01.2017 17:00:00.000 GMT+0100,84.079,84.170,84.019,84.140,14951112.7472
10.01.2017 18:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
10.01.2017 19:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
10.01.2017 20:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
10.01.2017 21:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
10.01.2017 22:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
10.01.2017 23:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
11.01.2017 00:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
11.01.2017 01:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
11.01.2017 02:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
11.01.2017 03:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
11.01.2017 04:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
11.01.2017 05:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
11.01.2017 06:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
11.01.2017 07:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
11.01.2017 08:00:00.000 GMT+0100,84.140,84.140,84.140,84.140,0
11.01.2017 09:00:00.000 GMT+0100,84.120,84.120,83.119,83.209,53230453.4912
11.01.2017 10:00:00.000 GMT+0100,83.209,83.759,83.209,83.679,48457828.5217
11.01.2017 11:00:00.000 GMT+0100,83.689,83.880,83.659,83.740,30781072.6166
11.01.2017 12:00:00.000 GMT+0100,83.739,83.939,83.712,83.769,24556890.4877
11.01.2017 13:00:00.000 GMT+0100,83.760,83.919,83.689,83.730,33109001.1597
11.01.2017 14:00:00.000 GMT+0100,83.729,83.899,83.669,83.669,35206741.333
11.01.2017 15:00:00.000 GMT+0100,83.669,84.320,83.599,84.309,51764835.3577
11.01.2017 16:00:00.000 GMT+0100,84.319,84.390,84.079,84.290,61862918.8538
11.01.2017 17:00:00.000 GMT+0100,84.299,84.440,83.909,83.909,25621360.7788
11.01.2017 18:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
11.01.2017 19:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
11.01.2017 20:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
11.01.2017 21:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
11.01.2017 22:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
11.01.2017 23:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
12.01.2017 00:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
12.01.2017 01:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
12.01.2017 02:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
12.01.2017 03:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
12.01.2017 04:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
12.01.2017 05:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
12.01.2017 06:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
12.01.2017 07:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
12.01.2017 08:00:00.000 GMT+0100,83.909,83.909,83.909,83.909,0
12.01.2017 09:00:00.000 GMT+0100,83.890,83.890,83.219,83.369,74818229.6753
12.01.2017 10:00:00.000 GMT+0100,83.380,83.699,83.309,83.540,27940158.844
12.01.2017 11:00:00.000 GMT+0100,83.539,83.790,83.490,83.719,23898250.5798
12.01.2017 12:00:00.000 GMT+0100,83.720,83.850,83.609,83.609,15613040.9241
12.01.2017 13:00:00.000 GMT+0100,83.610,83.619,83.250,83.360,31426954.2694
12.01.2017 14:00:00.000 GMT+0100,83.360,83.360,83.199,83.200,17300153.7323
12.01.2017 15:00:00.000 GMT+0100,83.199,83.590,83.130,83.520,45013927.4597
12.01.2017 16:00:00.000 GMT+0100,83.519,83.639,83.209,83.570,64945983.8867
12.01.2017 17:00:00.000 GMT+0100,83.564,83.690,83.380,83.629,29125747.6807
12.01.2017 18:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
12.01.2017 19:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
12.01.2017 20:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
12.01.2017 21:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
12.01.2017 22:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
12.01.2017 23:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
13.01.2017 00:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
13.01.2017 01:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
13.01.2017 02:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
13.01.2017 03:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
13.01.2017 04:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
13.01.2017 05:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
13.01.2017 06:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
13.01.2017 07:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
13.01.2017 08:00:00.000 GMT+0100,83.629,83.629,83.629,83.629,0
13.01.2017 09:00:00.000 GMT+0100,83.610,84.090,83.430,83.709,54582981.1096
13.01.2017 10:00:00.000 GMT+0100,83.709,84.039,83.649,84.020,19299970.6268
13.01.2017 11:00:00.000 GMT+0100,84.019,84.100,83.829,83.860,27952644.3481
13.01.2017 12:00:00.000 GMT+0100,83.860,84.019,83.819,83.949,13285598.7549
13.01.2017 13:00:00.000 GMT+0100,83.960,84.130,83.809,83.849,12573231.6971
13.01.2017 14:00:00.000 GMT+0100,83.850,83.880,83.609,83.729,27268938.0646
13.01.2017 15:00:00.000 GMT+0100,83.740,84.120,83.699,84.089,50949409.4849
13.01.2017 16:00:00.000 GMT+0100,84.090,84.180,83.930,83.969,58912242.8894
13.01.2017 17:00:00.000 GMT+0100,83.960,84.130,83.939,84.089,21655324.9359
13.01.2017 18:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
13.01.2017 19:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
13.01.2017 20:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
13.01.2017 21:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
13.01.2017 22:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
13.01.2017 23:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 00:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 01:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 02:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 03:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 04:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 05:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 06:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 07:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 08:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 09:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 10:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 11:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 12:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 13:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 14:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 15:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 16:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
14.01.2017 17:00:00.000 GMT+0100,84.089,84.089,84.089,84.089,0
